year,faac_nbn,is_estimated
2001,1543.961122,False
2002,1736.901694,False
2003,1972.704395,False
2004,2560.162283,False
2005,3243.057442,False
2006,3885.355388,False
2007,4192.803791,False
2008,5956.310236,False
2009,4986.483218,False
2010,5756.122581,False
2011,7383.309153,False
2012,7893.724639,False
2013,8515.947886,False
2014,7724.442269,False
2015,5814.06971,False
2016,4734.361697,False
2017,5925.897582,False
2018,7999.909026,False
2019,7751.19617,False
2020,7198.641224,False
2021,8021.018907,False
2022,9294.88882,False
2023,10605.671122,False
2024,31236.05884120625,True
